ein,name,total_fees,num_clients
362746886,CRAY KAISER,40200.0,1
363120284,GENWORTH FINANCIAL SEC CORP,0.0,2
363129984,DIMENSIONAL FUND ADVISORS,0.0,1
363545085,HINES & ASSOCIATES,13389.0,1
363664388,UBS GLOBAL ASSET MANAGEMENT,3674.0,1
363681493,GREATBANC TRUST COMPANY,26800.0,1
364001764,FIDUCIENT ADVISORS LLC,113.0,1
364001764,"FIDUCIENT ADVISORS, LLC",17917.0,2
364147777,DAVIS & CAMPBELL LLC,26565.0,1
364291971,ARTHUR J GALLAGHER & CO,9434.0,1
364291971,"GALLAGHER BENEFIT SERVICES, INC.",11250.0,2
364291971,GALLAGHER FIDUCIARY ADVISORS LLC,33184.0,3
364297197,"GALLAGHER BENEFIT SERVICES, INC",35040.0,1
364317381,INVESTMENT ADVISORY,172.0,1
364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0,8
364391310,BSWIFT LLC,761346.0,1
364488942,PUTNAM MUTUAL FUNDS,0.0,1
365132517,"COHEN & COMPANY, LTD.",29000.0,1
366055558,GRANT THORNTON LLP,37500.0,2
366064763,FIRST MIDWEST BANK,10865.0,1
366071399,TRANSAMERICA FIN. LIFE INS. COMPANY,6793.0,2
366071399,TRANSAMERICA FINANCIAL LIFE INS,5714.0,1
366071399,TRANSAMERICA FINANCIAL LIFE INS CO,3983.0,3
366071399,TRANSAMERICA FINANCIAL LIFE INSURAN,112327.0,2
366071399,TRANSAMERICA LIFE INSURANCE COMPANY,30132.0,1
376572947,NEWPORT CAPITAL GROUP,50432.0,1
380864715,JP MORGAN,14100.0,2
381428364,ELINA R. HARRIS,25663.0,1
381428364,GREGORY KAZMIERSKI,71010.0,1
381428364,KELLY MEEKER,30466.0,1
381428364,KYLE W. HARVEY,30466.0,1
381428364,MICHELLE M ZACNY,51836.0,1
381428364,PAMELA J FARNSWORTH,31045.0,1
381428364,STEFANIE A. BREWER,30343.0,1
381543746,E PLAN SERVICES,5775.0,1
382529039,FINKEL WHITEFIELD FELDMAN,295073.0,2
382771817,DAVID DUFFY CPA PLLC,122589.0,2
383269858,GURUPRASAD SRIHARI,22500.0,3
383269858,PROBUS TECHNICAL SERVICES INC,8000.0,2
386234363,GREGORY KAZMIERSKI,45340.0,1
386234363,MICHELLE M ZACNY,32946.0,1
390230590,CMFG LIFE INSURANCE COMPANY,118152.0,2
390859910,"BAKER TILLY US, LLP",40760.0,1
390989781,TRANSAMERICA LIFE INSURANCE CO,2208.0,1
390989781,TRANSAMERICA LIFE INSURANCE COMPANY,15137.0,1
391453055,VRAKAS SC,19080.0,1
391995276,UMR,351323.0,3
391995276,"UMR, INC",92120.0,1
391995276,"UMR, INC.",47878.0,1
392044064,EMPLOYEE BENEFITS CORPORATION,9656.0,1
396040276,SENTRY LIFE INSURANCE COMPANY,2824.0,1
410746749,CLIFTONLARSON ALLEN,5093.0,1
410746749,CLIFTONLARSONALLEN LLP,14964.0,1
410746749,CLIFTONLARSONALLEN WEALTH ADVISORS,7148.0,1
410955056,TSC 401K,10925.0,1
411289245,"UNITED HEALTHCARE SERVICES, INC.",97749.0,1
411416330,RBC WEALTH MANAGEMENT,35750.0,2
411533211,COLUMBIA ASSET MANAGEMENT,14215.0,1
411852523,"DDMN ASO, LLC",2175.0,1
412016508,WEALTH ENHANCEMENT ADVISORY SERVICE,11980.0,1
41590850,EMPOWER ANNUITY INS CO OF AMERICA,21504.0,1
41590850,MASS MUTUAL,1.0,1
41590850,MASS MUTUAL LIFE INSURANCE COMPANY,81164.0,1
41590850,MASSACHUSETTS MUTUAL,216152.0,1
41590850,MASSACHUSETTS MUTUAL LIFE INSURANCE,1678.0,1
41782600,ROCKLAND TRUST COMPANY,19878.0,1
41782600,ROCKLAND TRUST GROUP,5142.0,1
420127290,PRINCIPAL LIFE INSURANCE COMPANY,1477259.0,52
420388260,"MEMBERS CAPITAL ADVISORS, INC.",24777.0,2
420714325,RSM US LLP,12139.0,1
420941553,PRINCIPAL SECURITIES INC,0.0,1
420959302,DELTA DENTAL,61952.0,1
42105911,GRAPHIC ARTS INSTITUTE OF NE,18313.0,1
421445429,CAMBRIDGE INVESTMENT RESEARCH,10493.0,1
421479618,PRINCIPAL GLOBAL INVESTORS,12764.0,1
421479618,PRINCIPAL GLOBAL INVESTORS LLC,0.0,1
421484983,"ADMIN GROUP, LLC DBA TAG RESOURCES",5608.0,2
421484983,"ADMIN GROUP, LLC DBA TAG RESURCES",685.0,1
421484983,"ADMIN. GROUP, LLC DBA TAG RESOURCES",3261.0,1
421520346,PRINCIPAL,126875.0,1
421645441,"AILSA CAPITAL, INC.",19713.0,1
42528977,JOHN HANCOCK,0.0,1
42530412,THE ANGELL PENSION GROUP,9045.0,1
42530412,"THE ANGELL PENSION GROUP, INC",1918.0,1
42530412,"THE ANGELL PENSION GROUP, INC.",234302.0,1
42647786,FID INV INST OPS CO,36284.0,2
42647786,FIDELITY,0.0,2
42647786,FIDELITY INVESTMENTS,920.0,1
42647786,FIDELITY INVESTMENTS INS. OPER. CO.,-48091.0,1
42647786,FIDELITY INVESTMENTS INSTITUTIONAL,754989.0,52
42647786,GLOBAL RETIREMENT PARTNERS LLC,15000.0,1
42654524,STRATEGIC ADVISORS,17859.0,2
42654524,"STRATEGIC ADVISORS, INC.",83079.0,7
42675571,COMMONWEALTH FIANCIAL SERVICES,20919.0,1
42675571,COMMONWEALTH FINANCIAL NETWORK,110183.0,4
42675571,COMMONWEATLH FINANCIAL NETWORK,6250.0,1
42747644,MFS FUNDS,0.0,1
43027605,SAMET & COMPANY,10044.0,1
430345811,"EDWARD D. JONES & CO., L.P.",53594.0,1
430345811,EDWARD JONES,102462.0,5
43046611,LPL FINANCIAL,9593.0,1
43046611,LPL FINANCIAL LLC,0.0,2
43046611,LPL HOLDINGS INC,36514.0,1
431122456,NOVAK BIRKS PC,6021.0,1
431210557,ARNOLD INSURANCE COMPANY,44040.0,1
431270780,CREATIVE PLANNING LLC,8091.0,2
431364135,"HEALTHLINK, INC.",13544.0,1
431420563,EXPRESS SCRIPTS INC.,94734.0,1
431567889,AMERICAN CENTURY,0.0,1
431770779,"GROUP BENEFIT SERVICES, INC.",115532.0,2
431807084,"CREATIVE PLANNING, INC",6450.0,1
431947695,CBIZ CPAS P.C.,21525.0,1
43365630,FIDELITY INVESTMENTS,0.0,2
43499945,CARON & BLETZER PLLC,12750.0,1
43523567,NATIONAL FINANCIAL SERVICES,0.0,7
43705970,HY HOLDINGS INC,3129.0,1
43705970,TELADOC DIRECT,8643.0,1
446006315,AMERICAN CENTURY INVESTMENT INC,0.0,1
452355015,"OMADA COMPLETE, INC.",0.0,1
452355015,OMADA HEALTH INC,0.0,1
453004703,"PEACHCAP TAX & ADVISORY, LLC",17376.0,1
453834091,"ALTERNATIVE INVESTMENT ADVISORS, LL",8271.0,1
454813650,3(16) FIDUCIARY SERVICES CORP,1525.0,1
455091060,CREATIVE PLANNING,55850.0,1
455492167,CAPITAL ADVANTAGE ASSURANCE COMPANY,-282196.0,1
455608425,STONE HILL FIDUCIARY MANAGEMENT LLC,5999.0,1
456062081,ALERUS,15082.0,1
456062081,"ALERUS FINANCIAL, N.A.",32395.0,1
461247632,"RASMUSON & COMPANY, PC",46207.0,1
46171663,BLACKROCK FUNDS,0.0,1
461803145,"FORUSALL, INC.",6028.0,1
462725880,CK FINANCIAL LLC,7293.0,1
464488538,"DREXI, INC",26456.0,1
465055797,SETAWAY LLC,9880.0,1
465061538,TWELVE POINTS WEALTH MANAGEMENT LLC,11657.0,1
466654951,PAUL A. BECHELY,5000.0,1
470098400,AMERITAS LIFE INSURANCE CORP,128.0,1
470098400,AMERITAS LIFE INSURANCE CORP.,10365.0,1
471371230,RALSTON DEVELOPMENT INC,5000.0,1
471411118,GLOBAL RETIREMENT PARTNERS,9561.0,2
471411118,GLOBAL RETIREMENT PARTNERS LLC,0.0,2
471673715,CIS INSURANCE AND INVESTMENTS,33951.0,1
472112548,THE ACCEL GROUP,19776.0,1
473061484,GARY R HUNJIKER,4000.0,1
473302715,PACIFIC FEDERAL LLC,60000.0,1
473558396,EXENCIAL WEALTH ADVISORS LLC,52780.0,1
473992551,NORTH WOODS ASSET MANAGEMENT LLC,0.0,1
474307706,HUMAN INTEREST ADVISOR LLC,22134.0,2
474474775,"GUIDELINE, INC.",11153.0,1
474474775,"GUIDELINE, LLC",15025.0,1
474591265,HEALTHGRAM- TELADOCINC,11000.0,1
476461822,GURUPRASAD SRIHARI,0.0,0
476485096,GURUPRASAD SRIHARI,4000.0,1
476768364,ANTHONY L WOLFE,1200.0,1
510020405,HIGHMARK OF DE,3148.0,1
510099493,PRINCIPAL,22107.0,1
510116113,MORGAN STANLEY,488.0,1
510467698,BSI CORPORATE BENEFITS,24534.0,1
510467698,"BSI CORPORATE BENEFITS, LLC",8638.0,2
521309931,"T ROWE PRICE RPS, INC",42879.0,1
521309931,"T. ROWE PRICE RPS, INC.",44728.0,2
521396995,CBIZ FINANCIAL SOLUTIONS,5257.0,1
521665523,HUMAN RESOURCES INC,45874.0,1
522114207,NORTHWESTERN MUTUAL INVESTMENT SERV,0.0,1
522383166,HEALTHEQUITY INC,5852.0,1
530181291,WILLIS TOWERS WATSON US LLC,33100.0,1
530181291,"WILLIS TOWERS WATSON US, LLC",66021.0,1
540504608,BROWN EDWARDS AND COMPANY,0.0,1
541019610,CST GROUP,27028.0,1
541172176,SIKICH CPA LLC,13000.0,1
542000731,SIMA BENEFITS CONSULTING GROUP,19800.0,1
542000731,"SIMA BENEFITS CONSULTING GROUP, LLC",34860.0,1
542011471,BROWN & BROWN (VA),32000.0,1
560614254,"DEFINITI, LLC",490.0,1
561167792,"CORPORATE BENEFITS SERVICE, INC.",35766.0,1
561449504,"HEALTHGRAM, INC",5110.0,1
561449504,"HEALTHGRAM, INC.",442435.0,1
561623293,MCGRIFF INSURANCE SERVICES,33250.0,1
561623293,MCGRIFF INSURANCE SERVICES (FORMERL,13692.0,1
561762637,RETIREMENT PLAN SOLUTIONS,75.0,1
561981693,VERITY ASSET MANAGEMENT,3355.0,1
570381582,"ELLIOTT DAVIS, PLLC",16000.0,1
582131807,HEALTH PARTNERS NETWORK LLC,25882.0,1
582161308,"MCGRIFF, SEIBELS & WILLIAMS",1703.0,1
582449984,"GBA RETIREMENT SERVICES, INC.",8056.0,1
582522668,"ONEDIGITAL (CLJM, LLC. DBA HM BENEF",49020.0,3
582522668,ONEDIGITAL (DILLON HEALTH),9317.0,1
591031071,CIGNA,21387.0,1
591031071,CIGNA CORPORATION,1450.0,1
591031071,CIGNA HEALTH & LIFE INS CO,616942.0,6
