ein,name,pagerank_score,num_clients,total_fees,same_parent_flag,parent_group_id,group_size,community_id
352552359,KESTRA INVESTMENT SERVICES LLC,0.15000000000000002,1,16500.0,1.0,121.0,4.0,4511
361561860,THE NORTHERN TRUST COMPANY,0.15000000000000002,2,14015.0,1.0,122.0,2.0,4420
362235791,"AON CONSULTING, INC.",0.15000000000000002,1,138699.0,0.0,123.0,1.0,4381
362746886,CRAY KAISER,0.15000000000000002,1,40200.0,,,,4274
363120284,GENWORTH FINANCIAL SEC CORP,0.15000000000000002,2,0.0,0.0,124.0,1.0,4275
363129984,DIMENSIONAL FUND ADVISORS,0.15000000000000002,1,0.0,1.0,94.0,3.0,4276
363545085,HINES & ASSOCIATES,0.15000000000000002,1,13389.0,,,,4507
363664388,UBS GLOBAL ASSET MANAGEMENT,0.15000000000000002,1,3674.0,0.0,125.0,1.0,4381
363681493,GREATBANC TRUST COMPANY,0.15000000000000002,1,26800.0,0.0,126.0,1.0,4502
364001764,"FIDUCIENT ADVISORS, LLC",0.15000000000000002,2,17917.0,1.0,127.0,2.0,4493
364147777,DAVIS & CAMPBELL LLC,0.15000000000000002,1,26565.0,0.0,128.0,1.0,4401
364291971,GALLAGHER FIDUCIARY ADVISORS LLC,0.15000000000000002,3,33184.0,1.0,129.0,3.0,4140
364297197,"GALLAGHER BENEFIT SERVICES, INC",0.15000000000000002,1,35040.0,0.0,130.0,1.0,4495
364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.15000000000000002,8,0.0,1.0,131.0,2.0,4132
364391310,BSWIFT LLC,0.15000000000000002,1,761346.0,0.0,132.0,1.0,4420
364488942,PUTNAM MUTUAL FUNDS,0.15000000000000002,1,0.0,0.0,133.0,1.0,4286
365132517,"COHEN & COMPANY, LTD.",0.15000000000000002,1,29000.0,0.0,134.0,1.0,4287
366055558,GRANT THORNTON LLP,0.15000000000000002,2,37500.0,,,,4535
366064763,FIRST MIDWEST BANK,0.15000000000000002,1,10865.0,,,,4289
366071399,TRANSAMERICA LIFE INSURANCE COMPANY,0.15000000000000002,1,30132.0,1.0,135.0,7.0,4168
376572947,NEWPORT CAPITAL GROUP,0.15000000000000002,1,50432.0,1.0,87.0,3.0,4291
380864715,JP MORGAN,0.15000000000000002,2,14100.0,,,,4524
381428364,STEFANIE A. BREWER,0.15000000000000002,1,30343.0,,,,4293
381543746,E PLAN SERVICES,0.15000000000000002,1,5775.0,0.0,136.0,1.0,4294
382529039,FINKEL WHITEFIELD FELDMAN,0.15000000000000002,2,295073.0,,,,4524
382771817,DAVID DUFFY CPA PLLC,0.15000000000000002,2,122589.0,0.0,137.0,1.0,4524
383269858,PROBUS TECHNICAL SERVICES INC,0.15000000000000002,2,8000.0,0.0,138.0,1.0,4156
386234363,MICHELLE M ZACNY,0.15000000000000002,1,32946.0,,,,4298
390230590,CMFG LIFE INSURANCE COMPANY,0.15000000000000002,2,118152.0,0.0,139.0,1.0,4316
390859910,"BAKER TILLY US, LLP",0.15000000000000002,1,40760.0,0.0,140.0,1.0,4420
390989781,TRANSAMERICA LIFE INSURANCE COMPANY,0.15000000000000002,1,15137.0,1.0,135.0,7.0,4168
391453055,VRAKAS SC,0.15000000000000002,1,19080.0,,,,4439
391995276,"UMR, INC.",0.15000000000000002,1,47878.0,1.0,141.0,2.0,4463
392044064,EMPLOYEE BENEFITS CORPORATION,0.15000000000000002,1,9656.0,0.0,142.0,1.0,4304
396040276,SENTRY LIFE INSURANCE COMPANY,0.15000000000000002,1,2824.0,0.0,143.0,1.0,4305
410746749,CLIFTONLARSONALLEN WEALTH ADVISORS,0.15000000000000002,1,7148.0,0.0,144.0,1.0,4404
410955056,TSC 401K,0.15000000000000002,1,10925.0,,,,4307
411289245,"UNITED HEALTHCARE SERVICES, INC.",0.15000000000000002,1,97749.0,0.0,145.0,1.0,4308
411416330,RBC WEALTH MANAGEMENT,0.15000000000000002,2,35750.0,0.0,146.0,1.0,4309
411533211,COLUMBIA ASSET MANAGEMENT,0.15000000000000002,1,14215.0,0.0,147.0,1.0,4310
411852523,"DDMN ASO, LLC",0.15000000000000002,1,2175.0,0.0,148.0,1.0,4311
412016508,WEALTH ENHANCEMENT ADVISORY SERVICE,0.15000000000000002,1,11980.0,0.0,149.0,1.0,4312
41590850,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.15000000000000002,1,1678.0,1.0,150.0,13.0,4133
41782600,ROCKLAND TRUST GROUP,0.15000000000000002,1,5142.0,1.0,151.0,2.0,4381
420127290,PRINCIPAL LIFE INSURANCE COMPANY,0.15000000000000002,52,1477259.0,0.0,152.0,1.0,4132
420388260,"MEMBERS CAPITAL ADVISORS, INC.",0.15000000000000002,2,24777.0,0.0,153.0,1.0,4316
420714325,RSM US LLP,0.15000000000000002,1,12139.0,,,,4317
420941553,PRINCIPAL SECURITIES INC,0.15000000000000002,1,0.0,0.0,154.0,1.0,4318
420959302,DELTA DENTAL,0.15000000000000002,1,61952.0,,,,4428
42105911,GRAPHIC ARTS INSTITUTE OF NE,0.15000000000000002,1,18313.0,0.0,155.0,1.0,4320
421445429,CAMBRIDGE INVESTMENT RESEARCH,0.15000000000000002,1,10493.0,0.0,156.0,1.0,4518
421479618,PRINCIPAL GLOBAL INVESTORS LLC,0.15000000000000002,1,0.0,1.0,157.0,2.0,4132
421484983,"ADMIN. GROUP, LLC DBA TAG RESOURCES",0.15000000000000002,1,3261.0,1.0,158.0,4.0,4168
421520346,PRINCIPAL,0.15000000000000002,1,126875.0,1.0,159.0,2.0,4502
421645441,"AILSA CAPITAL, INC.",0.15000000000000002,1,19713.0,0.0,160.0,1.0,4459
42528977,JOHN HANCOCK,0.15000000000000002,1,0.0,,,,4326
42530412,"THE ANGELL PENSION GROUP, INC.",0.15000000000000002,1,234302.0,1.0,161.0,3.0,4381
42647786,GLOBAL RETIREMENT PARTNERS LLC,0.15000000000000002,1,15000.0,1.0,162.0,5.0,4140
42654524,"STRATEGIC ADVISORS, INC.",0.15000000000000002,7,83079.0,1.0,163.0,2.0,4140
42675571,COMMONWEATLH FINANCIAL NETWORK,0.15000000000000002,1,6250.0,1.0,164.0,3.0,4493
42747644,MFS FUNDS,0.15000000000000002,1,0.0,0.0,165.0,1.0,4331
43027605,SAMET & COMPANY,0.15000000000000002,1,10044.0,,,,4332
430345811,EDWARD JONES,0.15000000000000002,5,102462.0,0.0,166.0,1.0,4497
43046611,LPL HOLDINGS INC,0.15000000000000002,1,36514.0,1.0,167.0,3.0,4140
431122456,NOVAK BIRKS PC,0.15000000000000002,1,6021.0,,,,4335
431210557,ARNOLD INSURANCE COMPANY,0.15000000000000002,1,44040.0,0.0,168.0,1.0,4482
431270780,CREATIVE PLANNING LLC,0.15000000000000002,2,8091.0,1.0,169.0,3.0,4168
431364135,"HEALTHLINK, INC.",0.15000000000000002,1,13544.0,0.0,170.0,1.0,4482
431420563,EXPRESS SCRIPTS INC.,0.15000000000000002,1,94734.0,0.0,171.0,1.0,4428
431567889,AMERICAN CENTURY,0.15000000000000002,1,0.0,,,,4340
431770779,"GROUP BENEFIT SERVICES, INC.",0.15000000000000002,2,115532.0,1.0,172.0,2.0,4482
431807084,"CREATIVE PLANNING, INC",0.15000000000000002,1,6450.0,1.0,169.0,3.0,4342
431947695,CBIZ CPAS P.C.,0.15000000000000002,1,21525.0,,,,4343
43365630,FIDELITY INVESTMENTS,0.15000000000000002,2,0.0,0.0,173.0,1.0,4344
43499945,CARON & BLETZER PLLC,0.15000000000000002,1,12750.0,0.0,174.0,1.0,4345
43523567,NATIONAL FINANCIAL SERVICES,0.15000000000000002,7,0.0,0.0,175.0,1.0,4151
43705970,TELADOC DIRECT,0.15000000000000002,1,8643.0,0.0,176.0,1.0,4495
446006315,AMERICAN CENTURY INVESTMENT INC,0.15000000000000002,1,0.0,0.0,177.0,1.0,4348
452355015,OMADA HEALTH INC,0.15000000000000002,1,0.0,1.0,178.0,2.0,4349
453004703,"PEACHCAP TAX & ADVISORY, LLC",0.15000000000000002,1,17376.0,0.0,179.0,1.0,4350
453834091,"ALTERNATIVE INVESTMENT ADVISORS, LL",0.15000000000000002,1,8271.0,0.0,180.0,1.0,4351
454813650,3(16) FIDUCIARY SERVICES CORP,0.15000000000000002,1,1525.0,0.0,181.0,1.0,4352
455091060,CREATIVE PLANNING,0.15000000000000002,1,55850.0,,,,4353
455492167,CAPITAL ADVANTAGE ASSURANCE COMPANY,0.15000000000000002,1,-282196.0,0.0,182.0,1.0,4354
455608425,STONE HILL FIDUCIARY MANAGEMENT LLC,0.15000000000000002,1,5999.0,0.0,183.0,1.0,4355
456062081,"ALERUS FINANCIAL, N.A.",0.15000000000000002,1,32395.0,0.0,184.0,1.0,4479
461247632,"RASMUSON & COMPANY, PC",0.15000000000000002,1,46207.0,0.0,185.0,1.0,4502
46171663,BLACKROCK FUNDS,0.15000000000000002,1,0.0,0.0,186.0,1.0,4358
461803145,"FORUSALL, INC.",0.15000000000000002,1,6028.0,0.0,187.0,1.0,4359
462725880,CK FINANCIAL LLC,0.15000000000000002,1,7293.0,0.0,188.0,1.0,4447
464488538,"DREXI, INC",0.15000000000000002,1,26456.0,0.0,189.0,1.0,4482
465055797,SETAWAY LLC,0.15000000000000002,1,9880.0,0.0,190.0,1.0,4362
465061538,TWELVE POINTS WEALTH MANAGEMENT LLC,0.15000000000000002,1,11657.0,0.0,191.0,1.0,4497
466654951,PAUL A. BECHELY,0.15000000000000002,1,5000.0,,,,4364
470098400,AMERITAS LIFE INSURANCE CORP.,0.15000000000000002,1,10365.0,1.0,192.0,2.0,4493
471371230,RALSTON DEVELOPMENT INC,0.15000000000000002,1,5000.0,0.0,193.0,1.0,4366
471411118,GLOBAL RETIREMENT PARTNERS LLC,0.15000000000000002,2,0.0,1.0,194.0,2.0,4381
471673715,CIS INSURANCE AND INVESTMENTS,0.15000000000000002,1,33951.0,0.0,195.0,1.0,4368
472112548,THE ACCEL GROUP,0.15000000000000002,1,19776.0,0.0,196.0,1.0,4369
473061484,GARY R HUNJIKER,0.15000000000000002,1,4000.0,,,,4370
473302715,PACIFIC FEDERAL LLC,0.15000000000000002,1,60000.0,0.0,197.0,1.0,4529
473558396,EXENCIAL WEALTH ADVISORS LLC,0.15000000000000002,1,52780.0,0.0,198.0,1.0,4372
