fund_a,fund_b,shared_managers
20377419,550917836,1
20377419,561216391,1
20377419,562537962,1
20377419,581984495,1
20377419,60726489,1
20377419,650367984,1
20377419,650540100,1
20377419,742995593,1
20377419,752372684,1
20377419,752694563,1
20377419,752875180,1
20377419,800324447,1
20377419,813881290,1
20377419,821459401,1
20377419,823563982,1
20377419,831254672,1
20377419,832809084,1
20377419,850106941,1
20377419,850615121,1
20377419,850892816,1
20377419,853324939,1
20377419,872007795,1
20377419,954049363,1
20377419,990113530,1
20377419,991972777,1
203880413,132742395,1
203880413,134233377,1
203880413,141881132,1
203880413,161490676,1
203880413,205702117,1
203880413,205989542,1
203880413,208250290,1
203880413,208538333,1
203880413,221296609,1
203880413,260610707,1
203880413,260846505,1
203880413,270061167,1
203880413,271883111,1
203880413,300284495,1
203880413,314159950,1
203880413,340778636,1
203880413,352257489,1
203880413,362989662,1
203880413,381067560,1
203880413,421105676,1
203880413,42510895,1
203880413,451273930,1
203880413,452653391,1
203880413,453506561,1
203880413,455240671,1
203880413,462436774,1
203880413,463485489,1
203880413,472150172,1
203880413,520563938,1
203880413,562401998,1
203880413,611145339,1
203880413,680661238,1
203880413,710653502,1
203880413,760475815,1
203880413,813040678,1
203880413,822265990,1
203880413,832783957,1
203880413,842795435,1
203880413,853070386,1
203880413,923046645,1
203880413,942537238,1
203880413,952976080,1
203880413,953077405,1
204046036,111992329,1
204046036,205404353,1
204046036,222842846,1
204046036,231539454,2
204046036,231695009,1
204046036,231695529,1
204046036,231744831,2
204046036,232063262,1
204046036,232220475,1
204046036,232362216,2
204046036,232510674,1
204046036,232610181,2
204046036,232687798,1
204046036,232971010,1
204046036,237404857,2
204046036,251659394,1
204046036,251675849,1
204046036,251792083,1
204046036,251851827,1
204046036,263892463,1
204046036,272493878,1
204046036,310646123,1
204046036,331097329,1
204046036,352121147,1
204046036,412038882,1
204046036,430902269,1
204046036,462819181,1
204046036,470899236,1
204046036,474222697,1
204046036,474749384,1
204046036,510342132,2
204046036,510467698,1
204046036,541527978,1
204046036,582644728,1
204046036,820538459,1
204046036,830376638,1
204046036,844034514,1
204046036,870575504,1
204046036,874170846,1
204046036,880099795,1
204353669,264773205,1
204353669,411892770,1
204353669,460406130,1
204353669,541189694,1
204353669,611756067,1
204353669,743257322,1
204353669,822005387,1
204353669,951879075,1
204707579,201897663,1
204707579,203198788,1
204707579,20329382,1
204707579,231729679,1
204707579,232290246,1
204707579,263166327,1
204707579,464075013,1
204707579,470390618,1
204707579,471811024,1
204707579,472467773,1
204707579,571192153,1
204707579,741695800,1
204707579,752627778,1
204707579,814170527,1
204707579,814981134,1
204707579,820962487,1
204707579,821512790,1
204707579,821700385,1
204707579,831334174,1
204707579,870520406,1
204707579,911151039,1
204707579,941369591,1
20478308,112845313,1
20478308,113521426,1
20478308,132621497,1
20478308,132922204,2
20478308,203160292,1
20478308,20377419,1
20478308,20482717,1
20478308,20681934,1
20478308,208066203,1
20478308,231311874,2
20478308,260071475,1
20478308,264086627,1
20478308,264656792,1
20478308,271521006,1
20478308,320539100,1
20478308,341406066,1
20478308,362762678,1
20478308,421206172,1
20478308,42726691,2
20478308,43481758,1
20478308,440663509,2
20478308,455586030,1
20478308,472817157,1
20478308,473599330,1
20478308,473768464,1
20478308,520482550,1
20478308,521563984,1
20478308,522206266,2
20478308,541145723,1
20478308,550917836,1
20478308,561216391,1
20478308,562537962,1
20478308,581984495,1
20478308,60726489,1
20478308,650367984,1
20478308,650540100,1
20478308,742995593,1
20478308,752372684,1
20478308,752694563,1
20478308,752875180,2
20478308,800324447,1
20478308,813881290,1
20478308,821459401,1
20478308,823563982,2
20478308,831254672,1
20478308,832809084,1
20478308,850106941,1
20478308,850615121,1
20478308,850892816,1
20478308,853324939,1
20478308,872007795,2
20478308,954049363,1
20478308,990113530,1
20478308,991972777,1
20482717,112845313,1
20482717,113521426,1
20482717,132621497,1
20482717,132922204,1
20482717,161535313,1
20482717,203160292,1
20482717,20377419,1
20482717,20478308,1
20482717,20681934,1
20482717,208066203,1
20482717,221296609,1
20482717,231311874,1
20482717,260071475,1
20482717,264086627,1
20482717,264656792,1
20482717,271521006,1
20482717,320539100,1
20482717,341406066,1
20482717,362762678,1
20482717,421206172,1
20482717,42726691,1
20482717,43481758,1
20482717,440663509,1
20482717,455586030,1
20482717,472817157,1
20482717,473599330,1
20482717,473768464,1
20482717,520482550,1
20482717,521563984,1
20482717,522206266,1
20482717,541145723,1
20482717,541189694,1
20482717,541926760,1
20482717,550917836,1
20482717,561216391,1
20482717,562537962,1
20482717,581984495,1
20482717,60726489,1
20482717,650367984,1
20482717,650540100,1
20482717,742995593,1
20482717,752372684,1
20482717,752694563,1
20482717,752875180,1
20482717,800324447,1
20482717,813881290,1
20482717,821459401,1
20482717,823563982,1
20482717,831254672,1
20482717,832809084,1
20482717,834225264,1
20482717,850106941,1
20482717,850615121,1
20482717,850892816,1
20482717,853324939,1
20482717,872007795,1
20482717,954049363,1
20482717,990113530,1
20482717,991972777,1
205404353,111992329,1
205404353,204046036,1
205404353,222842846,1
205404353,231539454,1
205404353,231695009,1
205404353,231695529,1
205404353,231744831,1
205404353,232063262,1
205404353,232220475,1
205404353,232362216,1
205404353,232510674,1
205404353,232610181,1
205404353,232687798,1
205404353,232971010,1
205404353,237404857,1
205404353,251659394,1
205404353,251675849,1
205404353,251792083,1
205404353,251851827,1
205404353,263892463,2
205404353,272493878,1
205404353,310646123,2
205404353,331097329,1
205404353,352121147,1
205404353,412038882,1
205404353,430902269,1
205404353,462819181,2
205404353,470899236,2
205404353,474222697,2
205404353,474749384,2
205404353,510342132,1
205404353,510467698,1
205404353,541527978,1
205404353,582644728,2
205404353,820538459,1
205404353,830376638,1
205404353,844034514,2
205404353,870575504,1
205404353,874170846,2
205404353,880099795,2
205702117,132742395,1
205702117,134233377,1
205702117,141881132,1
205702117,161490676,1
205702117,203880413,1
205702117,205989542,1
205702117,208250290,1
205702117,208538333,1
