ein,name,total_fees,num_clients,name_clean,is_person,parent_group_id,group_size,same_parent_flag
363664388,UBS GLOBAL ASSET MANAGEMENT,3674.0,1,UBS GLOBAL ASSET,False,125,1,0
363681493,GREATBANC TRUST COMPANY,26800.0,1,GREATBANC COMPANY,False,126,1,0
364001764,FIDUCIENT ADVISORS LLC,113.0,1,FIDUCIENT,False,127,2,1
364001764,"FIDUCIENT ADVISORS, LLC",17917.0,2,FIDUCIENT,False,127,2,1
364147777,DAVIS & CAMPBELL LLC,26565.0,1,DAVIS CAMPBELL,False,128,1,0
364291971,ARTHUR J GALLAGHER & CO,9434.0,1,ARTHUR J GALLAGHER,False,129,3,1
364291971,"GALLAGHER BENEFIT SERVICES, INC.",11250.0,2,GALLAGHER BENEFIT,False,129,3,1
364291971,GALLAGHER FIDUCIARY ADVISORS LLC,33184.0,3,GALLAGHER FIDUCIARY,False,129,3,1
364297197,"GALLAGHER BENEFIT SERVICES, INC",35040.0,1,GALLAGHER BENEFIT,False,130,1,0
364317381,INVESTMENT ADVISORY,172.0,1,INVESTMENT,False,131,2,1
364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0,8,MORNINGSTAR INVESTMENT L,False,131,2,1
364391310,BSWIFT LLC,761346.0,1,BSWIFT,False,132,1,0
364488942,PUTNAM MUTUAL FUNDS,0.0,1,PUTNAM MUTUAL FUNDS,False,133,1,0
365132517,"COHEN & COMPANY, LTD.",29000.0,1,COHEN COMPANY,False,134,1,0
366071399,TRANSAMERICA FIN. LIFE INS. COMPANY,6793.0,2,TRANSAMERICA FIN LIFE INS COMPANY,False,135,7,1
366071399,TRANSAMERICA FINANCIAL LIFE INS,5714.0,1,TRANSAMERICA LIFE INS,False,135,7,1
366071399,TRANSAMERICA FINANCIAL LIFE INS CO,3983.0,3,TRANSAMERICA LIFE INS,False,135,7,1
366071399,TRANSAMERICA FINANCIAL LIFE INSURAN,112327.0,2,TRANSAMERICA LIFE INSURAN,False,135,7,1
366071399,TRANSAMERICA LIFE INSURANCE COMPANY,30132.0,1,TRANSAMERICA LIFE INSURANCE COMPANY,False,135,7,1
376572947,NEWPORT CAPITAL GROUP,50432.0,1,NEWPORT,False,87,3,1
381543746,E PLAN SERVICES,5775.0,1,E PLAN,False,136,1,0
382771817,DAVID DUFFY CPA PLLC,122589.0,2,DAVID DUFFY CPA PLLC,False,137,1,0
383269858,PROBUS TECHNICAL SERVICES INC,8000.0,2,PROBUS TECHNICAL,False,138,1,0
390230590,CMFG LIFE INSURANCE COMPANY,118152.0,2,CMFG LIFE INSURANCE COMPANY,False,139,1,0
390859910,"BAKER TILLY US, LLP",40760.0,1,BAKER TILLY US LLP,False,140,1,0
390989781,TRANSAMERICA LIFE INSURANCE CO,2208.0,1,TRANSAMERICA LIFE INSURANCE,False,135,7,1
390989781,TRANSAMERICA LIFE INSURANCE COMPANY,15137.0,1,TRANSAMERICA LIFE INSURANCE COMPANY,False,135,7,1
391995276,"UMR, INC",92120.0,1,UMR,False,141,2,1
391995276,"UMR, INC.",47878.0,1,UMR,False,141,2,1
392044064,EMPLOYEE BENEFITS CORPORATION,9656.0,1,EMPLOYEE BENEFITS CORPORATION,False,142,1,0
396040276,SENTRY LIFE INSURANCE COMPANY,2824.0,1,SENTRY LIFE INSURANCE COMPANY,False,143,1,0
410746749,CLIFTONLARSONALLEN WEALTH ADVISORS,7148.0,1,CLIFTONLARSONALLEN WEALTH,False,144,1,0
411289245,"UNITED HEALTHCARE SERVICES, INC.",97749.0,1,UNITED HEALTHCARE,False,145,1,0
411416330,RBC WEALTH MANAGEMENT,35750.0,2,RBC WEALTH,False,146,1,0
411533211,COLUMBIA ASSET MANAGEMENT,14215.0,1,COLUMBIA ASSET,False,147,1,0
411852523,"DDMN ASO, LLC",2175.0,1,DDMN ASO,False,148,1,0
412016508,WEALTH ENHANCEMENT ADVISORY SERVICE,11980.0,1,WEALTH ENHANCEMENT SERVICE,False,149,1,0
41590850,EMPOWER ANNUITY INS CO OF AMERICA,21504.0,1,EMPOWER ANNUITY INS OF AMERICA,False,150,13,1
41590850,MASS MUTUAL LIFE INSURANCE COMPANY,81164.0,1,MASS MUTUAL LIFE INSURANCE COMPANY,False,150,13,1
41590850,MASSACHUSETTS MUTUAL LIFE INSURANCE,1678.0,1,MASSACHUSETTS MUTUAL LIFE INSURANCE,False,150,13,1
41782600,ROCKLAND TRUST COMPANY,19878.0,1,ROCKLAND COMPANY,False,151,2,1
41782600,ROCKLAND TRUST GROUP,5142.0,1,ROCKLAND,False,151,2,1
420127290,PRINCIPAL LIFE INSURANCE COMPANY,1477259.0,52,PRINCIPAL LIFE INSURANCE COMPANY,False,152,1,0
420388260,"MEMBERS CAPITAL ADVISORS, INC.",24777.0,2,MEMBERS,False,153,1,0
420941553,PRINCIPAL SECURITIES INC,0.0,1,PRINCIPAL SECURITIES,False,154,1,0
42105911,GRAPHIC ARTS INSTITUTE OF NE,18313.0,1,GRAPHIC ARTS INSTITUTE OF NE,False,155,1,0
421445429,CAMBRIDGE INVESTMENT RESEARCH,10493.0,1,CAMBRIDGE INVESTMENT RESEARCH,False,156,1,0
421479618,PRINCIPAL GLOBAL INVESTORS,12764.0,1,PRINCIPAL GLOBAL INVESTORS,False,157,2,1
421479618,PRINCIPAL GLOBAL INVESTORS LLC,0.0,1,PRINCIPAL GLOBAL INVESTORS,False,157,2,1
421484983,"ADMIN GROUP, LLC DBA TAG RESOURCES",5608.0,2,ADMIN DBA TAG RESOURCES,False,158,4,1
421484983,"ADMIN GROUP, LLC DBA TAG RESURCES",685.0,1,ADMIN DBA TAG RESURCES,False,158,4,1
421484983,"ADMIN. GROUP, LLC DBA TAG RESOURCES",3261.0,1,ADMIN DBA TAG RESOURCES,False,158,4,1
421520346,PRINCIPAL,126875.0,1,PRINCIPAL,False,159,2,1
421645441,"AILSA CAPITAL, INC.",19713.0,1,AILSA,False,160,1,0
42530412,THE ANGELL PENSION GROUP,9045.0,1,THE ANGELL PENSION,False,161,3,1
42530412,"THE ANGELL PENSION GROUP, INC",1918.0,1,THE ANGELL PENSION,False,161,3,1
42530412,"THE ANGELL PENSION GROUP, INC.",234302.0,1,THE ANGELL PENSION,False,161,3,1
42647786,FID INV INST OPS CO,36284.0,2,FID INV INST OPS,False,162,5,1
42647786,FIDELITY INVESTMENTS,920.0,1,FIDELITY,False,162,5,1
42647786,FIDELITY INVESTMENTS INS. OPER. CO.,-48091.0,1,FIDELITY INS OPER,False,162,5,1
42647786,FIDELITY INVESTMENTS INSTITUTIONAL,754989.0,52,FIDELITY INSTITUTIONAL,False,162,5,1
42647786,GLOBAL RETIREMENT PARTNERS LLC,15000.0,1,GLOBAL RETIREMENT PARTNERS,False,162,5,1
42654524,STRATEGIC ADVISORS,17859.0,2,STRATEGIC,False,163,2,1
42654524,"STRATEGIC ADVISORS, INC.",83079.0,7,STRATEGIC,False,163,2,1
42675571,COMMONWEALTH FIANCIAL SERVICES,20919.0,1,COMMONWEALTH FIANCIAL,False,164,3,1
42675571,COMMONWEALTH FINANCIAL NETWORK,110183.0,4,COMMONWEALTH NETWORK,False,164,3,1
42675571,COMMONWEATLH FINANCIAL NETWORK,6250.0,1,COMMONWEATLH NETWORK,False,164,3,1
42747644,MFS FUNDS,0.0,1,MFS FUNDS,False,165,1,0
430345811,"EDWARD D. JONES & CO., L.P.",53594.0,1,EDWARD D JONES LP,False,166,1,0
43046611,LPL FINANCIAL,9593.0,1,LPL,False,167,3,1
43046611,LPL FINANCIAL LLC,0.0,2,LPL,False,167,3,1
43046611,LPL HOLDINGS INC,36514.0,1,LPL HOLDINGS,False,167,3,1
431210557,ARNOLD INSURANCE COMPANY,44040.0,1,ARNOLD INSURANCE COMPANY,False,168,1,0
431270780,CREATIVE PLANNING LLC,8091.0,2,CREATIVE PLANNING,False,169,3,1
431364135,"HEALTHLINK, INC.",13544.0,1,HEALTHLINK,False,170,1,0
431420563,EXPRESS SCRIPTS INC.,94734.0,1,EXPRESS SCRIPTS,False,171,1,0
431770779,"GROUP BENEFIT SERVICES, INC.",115532.0,2,BENEFIT,False,172,2,1
431807084,"CREATIVE PLANNING, INC",6450.0,1,CREATIVE PLANNING,False,169,3,1
43365630,FIDELITY INVESTMENTS,0.0,2,FIDELITY,False,173,1,0
43499945,CARON & BLETZER PLLC,12750.0,1,CARON BLETZER PLLC,False,174,1,0
43523567,NATIONAL FINANCIAL SERVICES,0.0,7,NATIONAL,False,175,1,0
43705970,HY HOLDINGS INC,3129.0,1,HY HOLDINGS,False,176,1,0
446006315,AMERICAN CENTURY INVESTMENT INC,0.0,1,AMERICAN CENTURY INVESTMENT,False,177,1,0
452355015,"OMADA COMPLETE, INC.",0.0,1,OMADA COMPLETE,False,178,2,1
452355015,OMADA HEALTH INC,0.0,1,OMADA HEALTH,False,178,2,1
453004703,"PEACHCAP TAX & ADVISORY, LLC",17376.0,1,PEACHCAP TAX,False,179,1,0
453834091,"ALTERNATIVE INVESTMENT ADVISORS, LL",8271.0,1,ALTERNATIVE INVESTMENT LL,False,180,1,0
454813650,3(16) FIDUCIARY SERVICES CORP,1525.0,1,316 FIDUCIARY,False,181,1,0
455492167,CAPITAL ADVANTAGE ASSURANCE COMPANY,-282196.0,1,ADVANTAGE ASSURANCE COMPANY,False,182,1,0
455608425,STONE HILL FIDUCIARY MANAGEMENT LLC,5999.0,1,STONE HILL FIDUCIARY,False,183,1,0
456062081,"ALERUS FINANCIAL, N.A.",32395.0,1,ALERUS NA,False,184,1,0
461247632,"RASMUSON & COMPANY, PC",46207.0,1,RASMUSON COMPANY PC,False,185,1,0
46171663,BLACKROCK FUNDS,0.0,1,BLACKROCK FUNDS,False,186,1,0
461803145,"FORUSALL, INC.",6028.0,1,FORUSALL,False,187,1,0
462725880,CK FINANCIAL LLC,7293.0,1,CK,False,188,1,0
464488538,"DREXI, INC",26456.0,1,DREXI,False,189,1,0
465055797,SETAWAY LLC,9880.0,1,SETAWAY,False,190,1,0
465061538,TWELVE POINTS WEALTH MANAGEMENT LLC,11657.0,1,TWELVE POINTS WEALTH,False,191,1,0
