fund_ein,manager_ein,manager_name,fee_paid
231341694,231669823,CONRAD SIEGEL,79510.0
231341694,233037647,FULTON FINANCIAL ADVISORS,24206.0
352257489,420127290,PRINCIPAL LIFE INSURANCE COMPANY,10706.0
383793128,530181291,"WILLIS TOWERS WATSON US, LLC",66021.0
383793128,510099493,PRINCIPAL,22107.0
42104149,471411118,GLOBAL RETIREMENT PARTNERS,9561.0
42104149,42530412,THE ANGELL PENSION GROUP,9045.0
923046645,420127290,PRINCIPAL LIFE INSURANCE COMPANY,
923046645,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,
923046645,952755361,WILLSHIRE ADVISORS LLC,
911151039,231945930,"THE VANGUARD GROUP, INC.",7902.0
581640184,710294708,VOYA RETIREMENT INSURANCE & ANNUITY,0.0
60646520,334144829,COHNREZNICK LLP,23362.0
60646520,813968784,CBIZ BENEFITS & INSURANCE SERVICES,6000.0
200049637,351140070,LINCOLN NATIONAL CORPORATION,3888.0
760475815,420127290,PRINCIPAL LIFE INSURANCE COMPANY,1276.0
161529616,813062212,VESTWELL HOLDINGS INC.,46596.0
470899588,824555287,"RAYMOND JAMES & ASSOCIATES, INC.",17723.0
470899588,824555287,CAPITAL GROUP RETIREMENT PLAN SVCS.,11329.0
232687798,231315351,THE BENECON GROUP,42135.0
232687798,230558310,"ENGLE-HAMBRIGHT & DAVIES, INC. (EHD",22414.0
432114621,620951563,AMERICAN TRUST COMPANY,99328.0
432114621,582449984,"GBA RETIREMENT SERVICES, INC.",8056.0
571192153,231945930,"THE VANGUARD GROUP, INC.",46544.0
752627778,113665754,ASCENSUS LLC,9147.0
270242450,10233346,JOHN HANCOCK USA,9297.0
473372642,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,24151.0
911854749,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,11324.0
911854749,132638166,"UBS FINANCIAL SERVICES, INC.",22616.0
521811971,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,104195.0
521811971,43523567,NATIONAL FINANCIAL SERVICES,0.0
521811971,202153727,SB & COMPANY LLC,24760.0
521811971,208874282,LOCKTON INVESTMENT ADVISORS LLC,6025.0
521341890,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,12321.0
521341890,43523567,NATIONAL FINANCIAL SERVICES,0.0
521341890,202153727,SB & COMPANY LLC,11175.0
520591656,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,57860.0
520591656,43523567,NATIONAL FINANCIAL SERVICES,0.0
521250028,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,9470.0
521250028,43523567,NATIONAL FINANCIAL SERVICES,0.0
521250028,202153727,"SB & COMPANY, LLC",11213.0
521250028,208874282,LOCKTON INVESTMENT ADVISORS LLC,374.0
741695800,231945930,"THE VANGUARD GROUP, INC.",0.0
741695800,823719843,FUTUREPLAN BY ASCENSUS,0.0
473372642,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,28033.0
473372642,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,23292.0
